date,team,seed,division,wins,losses,points,clincher,leads_division,gap_to_division,gap_to_last_spot
2026-08-24,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-25,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-26,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-28,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-29,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-30,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-08-31,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-09-01,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
2026-09-02,Detroit Pistons,1,Central,60,22,,z,yes,,17 ahead
